MaterialApl;ApplicationORG;ShareSectorApl;SectorAplMatORG;ValorAnadidoSector;SectorAplicacion;GrupoAplicacion
Yttrium;Ceramics;0,38;C23 - Manufacture of other non-metallic mineral products;57,26;C23-Oth.NoMetal.mineral Prods.;Ceramics
Yttrium;Alloys;0,08;C24 - Manufacture of basic metals;55,43;C24-basic metals ;Alloys
Yttrium;Glass;0,04;C23 - Manufacture of other non-metallic mineral products;57,26;C23-Oth.NoMetal.mineral Prods.;Glass
Yttrium;Others;0,00;Z99-Others;0,00;Z99-Others**;Chemicals
Zinc;Galvanising;0,52;C25 - Manufacture of fabricated metal products, except machinery and equipment;148,35;C25-FabrMetalProds-NoMachin-Eq;Galvanising
Zinc;Zinc alloys;0,17;C24 - Manufacture of basic metals;55,43;C24-basic metals ;Metals-Basics
Zinc;Brass and bronze;0,15;C24 - Manufacture of basic metals;55,43;C24-basic metals ;Metals-Basics
Zinc;Zinc compounds (incl. dust and powder);0,10;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Chemicals
Zinc;Zinc semi-manufactures;0,06;C25 - Manufacture of fabricated metal products, except machinery and equipment;148,35;C25-FabrMetalProds-NoMachin-Eq;Metals-Basics
Zirconium;Ceramics;0,43;C23 - Manufacture of other non-metallic mineral products;57,26;C23-Oth.NoMetal.mineral Prods.;Ceramics
Zirconium;Refractories;0,15;C23 - Manufacture of other non-metallic mineral products;57,26;C23-Oth.NoMetal.mineral Prods.;Industry
Zirconium;Foundry;0,15;C24 - Manufacture of basic metals;55,43;C24-basic metals ;Foundry
Zirconium;Chemicals;0,12;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Chemicals
Zirconium;Others;0,10;C26 - Manufacture of computer, electronic and optical products;65,70;C26-Computer,Electron.Optic.Ps;Chemicals
Zirconium;Pigments;0,03;C20 - Manufacture of chemicals and chemical products;105,51;C20-Chemicals & Chemc.Prods.;Chemicals (Paint, Adhesives)
Zirconium;Superalloys, Nuclear;0,02;C24 - Manufacture of basic metals;55,43;C24-basic metals ;Energy (Nuclear)
